ID,injury,raw ,sig
4,0,1.8247458,0.861134612
4,0,-1.2005693,0.231373957
4,0,1.6750048,0.842241951
4,0,4.200346,0.985231004
4,0,2.3387759,0.912037932
4,0,-2.7710161,0.058910655
4,0,1.4434212,0.808983885
4,0,2.2165449,0.901725441
4,0,4.1178064,0.983980611
4,0,5.3940754,0.99547713
4,0,0.8824694,0.70733368
4,0,-0.5391501,0.368385313
4,0,-2.4792001,0.077329255
4,0,-2.3436475,0.087572029
4,0,1.8608174,0.865392194
4,0,1.9304553,0.873299806
4,0,3.420936,0.968352469
4,0,4.639292,0.990427972
4,0,-1.2727545,0.218786092
4,0,-0.9185363,0.285256227
4,0,-4.9530053,0.007012629
4,0,-0.72284305,0.326767231
4,0,-0.11629722,0.47095842
4,0,-3.6292794,0.025849378
4,0,5.2607102,0.994835197
4,0,-3.8359497,0.02112494
4,0,-0.45486426,0.388204869
4,0,-6.6696105,0.001267285
4,0,-9.999656,4.54E-05
4,0,-6.886229,0.001020717
4,0,-7.249828,0.000709792
4,0,-1.6402347,0.162433129
4,0,2.9598973,0.950729183
4,0,5.682378,0.996606107
4,0,-3.0218136,0.04645008
4,0,-2.7571633,0.059683366
4,0,-7.587612,0.000506433
4,0,-8.00865,0.000332463
4,0,-6.999176,0.000911802
4,0,-2.152887,0.104061752
4,0,-6.6241045,0.001326208
4,0,-5.5784388,0.003764237
4,0,-6.8296204,0.001080101
4,0,-3.9763181,0.018409306
4,0,-5.680459,0.00340039
4,0,8.153975,0.999712493
4,0,-4.957502,0.006981386
4,0,3.0233643,0.953618556
4,0,-6.1182795,0.002197402
4,0,-5.658412,0.003475927
4,0,-4.587947,0.010071261
4,0,-5.347784,0.004736147
4,0,-11.634657,8.85E-06
4,0,-12.564266,3.49E-06
4,0,-12.078785,5.68E-06
4,0,-9.52164,7.32E-05
4,0,-5.881418,0.002783058
4,0,-7.532474,0.000535125
5,1,9.403297,0.999917555
5,1,16.774757,0.999999948
5,1,-0.552216,0.365350433
5,1,-10.665263,2.33E-05
5,1,-16.216986,9.06E-08
5,1,-37.001694,8.52E-17
5,1,-28.986809,2.58E-13
5,1,-13.837128,9.79E-07
5,1,-16.629461,6.00E-08
5,1,1.5233557,0.821032093
5,1,0.36729223,0.590804524
5,1,2.6569102,0.934435622
5,1,-7.7090025,0.000448568
5,1,-14.952378,3.21E-07
5,1,-9.387663,8.37E-05
5,1,-18.62204,8.18E-09
5,1,-4.3333373,0.012953677
5,1,2.83316,0.944441645
5,1,2.4578552,0.921133992
5,1,5.3674107,0.995355474
5,1,2.3115072,0.909825587
5,1,-0.84626216,0.300217542
5,1,-0.036976814,0.49075685
5,1,-0.70986,0.329629776
5,1,4.9120593,0.992696413
5,1,0.2575048,0.564022818
5,1,5.378968,0.995408599
5,1,8.121895,0.999703123
5,1,3.598085,0.973353383
5,1,9.8813925,0.999948886
5,1,7.040515,0.999125091
5,1,4.623432,0.990276437
5,1,8.328588,0.999758545
5,1,-2.3029814,0.090876344
5,1,3.3603392,0.966441779
5,1,-3.9372864,0.019128044
5,1,5.2422786,0.994739624
5,1,-4.492112,0.011072987
5,1,4.768942,0.991582105
5,1,5.2780924,0.994923745
5,1,5.1035175,0.993961348
5,1,3.444141,0.969055932
5,1,-1.2246785,0.22711417
5,1,-0.2170294,0.44595462
5,1,-0.48721522,0.38054981
5,1,5.6301503,0.996424792
5,1,-0.16756552,0.458206365
5,1,3.1818821,0.960146747
5,1,5.8970895,0.997260098
5,1,3.426889,0.968534396
5,1,8.274684,0.999745176
5,1,11.092214,0.99998477
5,1,3.4522429,0.969297958
5,1,6.1525254,0.997876419
5,1,-7.009519,0.000902428
5,1,-3.921978,0.019417387
5,1,-0.7709517,0.31627327
5,1,-0.31165096,0.422711809
5,1,4.732057,0.991268576
5,1,-6.9929028,0.000917534
5,1,-4.3458233,0.012794999
5,1,-8.386003,0.000227985
5,1,-6.0108156,0.002446089
5,1,-2.4082541,0.082545442
5,1,-2.6936722,0.063347779
5,1,0.5116446,0.625191928
5,1,-1.7670889,0.145904726
5,1,-6.189025,0.002047625
5,1,4.485454,0.988853868
5,1,1.6073244,0.833039583
5,1,-4.090182,0.016460698
5,1,-7.7910957,0.000413229
5,1,-2.537834,0.073248072
6,0,2.3169692,0.910272704
6,0,-7.5629325,0.00051908
6,0,0.41608915,0.60254704
6,0,1.7836376,0.856145455
6,0,-2.4943407,0.076255872
6,0,7.3771763,0.999375027
6,0,-8.486682,0.000206154
6,0,-13.268286,1.73E-06
6,0,-8.3086195,0.000246323
